"Símbolo","Seguridad","Presentación ante la SEC","Sector GICS","Sub-industria GICS","Ubicación de la sede","Fecha de incorporación","Clave de índice central","Fundada"
"ETSY","Etsy","reports","Consumo Discrecional","Internet & Direct Marketing Retail","New York City, New York","44095",1370637,"2005"
"EVRG","Evergy","reports","Utilidades","Electric Utilities","Kansas City, Missouri","43256",1711269,"1909"
"EW","Edwards Lifesciences","reports","Cuidado de Salud","Health Care Equipment","Irvine, California","40634",1099800,"1958"
"EXC","Exelon","reports","Utilidades","Multi-Utilities","Chicago, Illinois","20883",1109357,"2000"
"EXPD","Expeditors International","reports","Industriales","Flete Aéreo y Logística","Seattle, Washington","39365",746515,"1979"
"EXPE","Expedia Group","reports","Consumo Discrecional","Internet & Direct Marketing Retail","Seattle, Washington","39357",1324424,"1996"
"EXR","Extra Space Storage","reports","Bienes Raíces","Specialized REITs","Salt Lake City, Utah","42388",1289490,"1977"
"F","Ford Motor Company","reports","Consumo Discrecional","Automobile Manufacturers","Dearborn, Michigan","20883",37996,"1903"
"FANG","Diamondback Energy","reports","Energía","Oil & Gas Exploration & Production","Midland, Texas","43437",1539838,"2007"
"FAST","Fastenal","reports","Industriales","Productos de Edificio","Winona, Minnesota","39706",815556,"1967"
"FCX","Freeport-McMoRan","reports","Materiales","Cobre","Phoenix, Arizona",NA,831259,"1912"
"FDS","FactSet","reports","Finanzas","Financial Exchanges & Data","Norwalk, Connecticut","44550",1013237,"1978"
"FDX","FedEx","reports","Industriales","Flete Aéreo y Logística","Memphis, Tennessee","29586",1048911,"1971"
"FE","FirstEnergy","reports","Utilidades","Electric Utilities","Akron, Ohio",NA,1031296,"1997"
"FFIV","F5, Inc.","reports","Tecnología Informática","Equipo de Comunicación","Seattle, Washington","40532",1048695,"1996"
"FIS","FIS","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","Jacksonville, Florida","39031",1136893,"1968"
"FI","Fiserv","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","Brookfield, Wisconsin","36983",798354,"1984"
"FITB","Fifth Third Bank","reports","Finanzas","Regional Banks","Cincinnati, Ohio",NA,35527,"1858"
"FLT","Fleetcor","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","Atlanta, Georgia","43271",1175454,"2000"
"FMC","FMC Corporation","reports","Materiales","Fertilizantes y Químicos Agrícola","Philadelphia, Pennsylvania","40044",37785,"1883"
"FOX","Fox Corporation (Class B)","reports","Servicios de Comunicación","Películas y Entretenimiento","New York City, New York","42265",1754301,"2019"
"FOXA","Fox Corporation (Class A)","reports","Servicios de Comunicación","Películas y Entretenimiento","New York City, New York","41456",1754301,"2019"
"FRCB","First Republic Bank","reports","Finanzas","Regional Banks","San Francisco, California","43467",1132979,"1985"
"FRT","Federal Realty","reports","Bienes Raíces","Retail REITs","Rockville, Maryland","42401",34903,"1962"
"FSLR","First Solar","reports","Tecnología Informática","Semiconductores","Tempe, Arizona","44914",1274494,"1999"
"FTNT","Fortinet","reports","Tecnología Informática","Software de Sistemas","Sunnyvale, California","43384",1262039,"2000"
"FTV","Fortive","reports","Industriales","Maquinaria Industrial","Everett, Washington","42552",1659166,"2016"
"GD","General Dynamics","reports","Industriales","Aeroespacial y Defensa","Falls Church, Virginia","20883",40533,"1899"
"GE","General Electric","reports","Industriales","Conglomerados Industriales","Boston, Massachusetts",NA,40545,"1892"
"GEHC","GE HealthCare","reports","Cuidado de Salud","Health Care Technology","Chicago, Illinois","44930",1932393,"1994"
"GEN","Gen Digital","reports","Tecnología Informática","Software de Aplicación","Tempe, Arizona","37705",849399,"1982"
"GILD","Gilead Sciences","reports","Cuidado de Salud","Biotecnología","Foster City, California","38169",882095,"1987"
"GIS","General Mills","reports","Productos básicos","Alimentos y Carnes Empaquetados","Golden Valley, Minnesota","25293",40704,"1856"
"GL","Globe Life","reports","Finanzas","Life & Health Insurance","McKinney, Texas","32628",320335,"1900"
"GLW","Corning Inc.","reports","Tecnología Informática","Componentes Electrónicos","Corning, New York",NA,24741,"1851"
"GM","General Motors","reports","Consumo Discrecional","Automobile Manufacturers","Detroit, Michigan","41431",1467858,"1908"
"GNRC","Generac","reports","Industriales","Componentes y Equipo Eléctrico","Waukesha, Wisconsin","44277",1474735,"1959"
"GOOG","Alphabet Inc. (Class C)","reports","Servicios de Comunicación","Medios y Servicios Interactivos","Mountain View, California","38810",1652044,"1998"
"GOOGL","Alphabet Inc. (Class A)","reports","Servicios de Comunicación","Medios y Servicios Interactivos","Mountain View, California","41732",1652044,"1998"
"GPC","Genuine Parts Company","reports","Consumo Discrecional","Specialty Stores","Atlanta, Georgia","27029",40987,"1925"
"GPN","Global Payments","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","Atlanta, Georgia","42485",1123360,"2000"
"GRMN","Garmin","reports","Consumo Discrecional","Consumer Electronics","Schaffhausen, Switzerland","41255",1121788,"1989"
"GS","Goldman Sachs","reports","Finanzas","Investment Banking & Brokerage","New York City, New York","37459",886982,"1869"
"GWW","W. W. Grainger","reports","Industriales","Maquinaria Industrial","Lake Forest, Illinois","29767",277135,"1927"
"HAL","Halliburton","reports","Energía","Oil & Gas Equipment & Services","Houston, Texas","20883",45012,"1919"
"HAS","Hasbro","reports","Consumo Discrecional","Leisure Products","Pawtucket, Rhode Island","30955",46080,"1923"
"HBAN","Huntington Bancshares","reports","Finanzas","Regional Banks","Columbus, Ohio; Detroit, Michigan",NA,49196,"1866"
"HCA","HCA Healthcare","reports","Cuidado de Salud","Health Care Facilities","Nashville, Tennessee","42031",860730,"1968"
"HD","The Home Depot","reports","Consumo Discrecional","Home Improvement Retail","Atlanta, Georgia","32233",354950,"1978"
"HES","Hess Corporation","reports","Energía","Integrated Oil & Gas","New York City, New York","30833",4447,"1919"
"HIG","Hartford (The)","reports","Finanzas","Property & Casualty Insurance","Hartford, Connecticut","20883",874766,"1810"
"HII","Huntington Ingalls Industries","reports","Industriales","Aeroespacial y Defensa","Newport News, Virginia","43103",1501585,"2011"
"HLT","Hilton Worldwide","reports","Consumo Discrecional","Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","42905",1585689,"1919"
"HOLX","Hologic","reports","Cuidado de Salud","Health Care Equipment","Marlborough, Massachusetts","42459",859737,"1985"
"HON","Honeywell","reports","Industriales","Conglomerados Industriales","Charlotte, North Carolina","23467",773840,"1906"
"HPE","Hewlett Packard Enterprise","reports","Tecnología Informática","Tecnología Hardware, Almacenamiento & Periféricos","Houston, Texas","42310",1645590,"2015"
"HPQ","HP Inc.","reports","Tecnología Informática","Tecnología Hardware, Almacenamiento & Periféricos","Palo Alto, California","27394",47217,"1939 (2015)"
"HRL","Hormel Foods","reports","Productos básicos","Alimentos y Carnes Empaquetados","Austin, Minnesota","39876",48465,"1891"
"HSIC","Henry Schein","reports","Cuidado de Salud","Health Care Distributors","Melville, New York","42080",1000228,"1932"
"HST","Host Hotels & Resorts","reports","Bienes Raíces","Hotel & Resort REITs","Bethesda, Maryland","39161",1070750,"1993"
"HSY","Hershey's","reports","Productos básicos","Alimentos y Carnes Empaquetados","Hershey, Pennsylvania","20883",47111,"1894"
"HUM","Humana","reports","Cuidado de Salud","Managed Health Care","Louisville, Kentucky",NA,49071,"1961"
"HWM","Howmet Aerospace","reports","Industriales","Aeroespacial y Defensa","Pittsburgh, Pennsylvania","23467",4281,"2016"
"IBM","IBM","reports","Tecnología Informática","Consultoría Informática y Otros Servicios","Armonk, New York","20883",51143,"1911"
"ICE","Intercontinental Exchange","reports","Finanzas","Financial Exchanges & Data","Atlanta, Georgia","39351",1571949,"2000"
"IDXX","Idexx Laboratories","reports","Cuidado de Salud","Health Care Equipment","Westbrook, Maine","42740",874716,"1983"
"IEX","IDEX Corporation","reports","Industriales","Maquinaria Industrial","Lake Forest, Illinois","43686",832101,"1988"
"IFF","International Flavors & Fragrances","reports","Materiales","Químicos Especiales","New York City, New York","27850",51253,"1958 (1889)"
"ILMN","Illumina","reports","Cuidado de Salud","Life Sciences Tools & Services","San Diego, California","42327",1110803,"1998"
"INCY","Incyte","reports","Cuidado de Salud","Biotecnología","Wilmington, Delaware","42794",879169,"1991"
"INTC","Intel","reports","Tecnología Informática","Semiconductores","Santa Clara, California","28125",50863,"1968"
"INTU","Intuit","reports","Tecnología Informática","Software de Aplicación","Mountain View, California","36865",896878,"1983"
"INVH","Invitation Homes","reports","Bienes Raíces","Residential REITs","Dallas, Texas","44823",1687229,"2012"
"IP","International Paper","reports","Materiales","Empaquetado de Papel","Memphis, Tennessee","20883",51434,"1898"
"IPG","The Interpublic Group of Companies","reports","Servicios de Comunicación","Publicidad","New York City, New York","33878",51644,"1961 (1930)"
"IQV","IQVIA","reports","Cuidado de Salud","Life Sciences Tools & Services","Durham, North Carolina","42976",1478242,"1982"
"IR","Ingersoll Rand","reports","Industriales","Maquinaria Industrial","Davidson, North Carolina","43893",1699150,"1859"
"IRM","Iron Mountain","reports","Bienes Raíces","Specialized REITs","Boston, Massachusetts","39819",1020569,"1951"
"ISRG","Intuitive Surgical","reports","Cuidado de Salud","Health Care Equipment","Sunnyvale, California","39601",1035267,"1995"
"IT","Gartner","reports","Tecnología Informática","Consultoría Informática y Otros Servicios","Stamford, Connecticut","42830",749251,"1979"
"ITW","Illinois Tool Works","reports","Industriales","Maquinaria Industrial","Glenview, Illinois","31471",49826,"1912"
"IVZ","Invesco","reports","Finanzas","Asset Management & Custody Banks","Atlanta, Georgia","39681",914208,"1935"
"J","Jacobs Solutions","reports","Industriales","Construcción e Ingeniería","Dallas, Texas","39381",52988,"1947"
"JBHT","J.B. Hunt","reports","Industriales","Camionaje","Lowell, Arkansas","42186",728535,"1961"
"JCI","Johnson Controls","reports","Industriales","Productos de Edificio","Cork, Ireland","40417",833444,"1885"
"JKHY","Jack Henry & Associates","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","Monett, Missouri","43417",779152,"1976"
"JNJ","Johnson & Johnson","reports","Cuidado de Salud","Farmacéuticos","New Brunswick, New Jersey","26845",200406,"1886"
"JNPR","Juniper Networks","reports","Tecnología Informática","Equipo de Comunicación","Sunnyvale, California","38870",1043604,"1996"
"JPM","JP Morgan Chase","reports","Finanzas","Diversified Banks","New York City, New York","27575",19617,"2000 (1799 / 1871)"
"K","Kellogg's","reports","Productos básicos","Alimentos y Carnes Empaquetados","Battle Creek, Michigan","32762",55067,"1906"
"KDP","Keurig Dr Pepper","reports","Productos básicos","Bebidas","Burlington, Massachusetts","44733",1418135,"1981"
"KEY","KeyCorp","reports","Finanzas","Regional Banks","Cleveland, Ohio","34394",91576,"1825"
"KEYS","Keysight","reports","Tecnología Informática","Equipo Electrónico y Instrumentos","Santa Rosa, California","43410",1601046,"2014 (1939)"
"KHC","Kraft Heinz","reports","Productos básicos","Alimentos y Carnes Empaquetados","Chicago, Illinois; Pittsburgh, Pennsylvania","42191",1637459,"2015 (1869)"
"KIM","Kimco Realty","reports","Bienes Raíces","Retail REITs","New Hyde Park, New York","38811",879101,"1958"
"KLAC","KLA Corporation","reports","Tecnología Informática","Equipo de Semiconductores","Milpitas, California",NA,319201,"1975/1977 (1997)"
"KMB","Kimberly-Clark","reports","Productos básicos","Productos Domésticos","Irving, Texas","20883",55785,"1872"
"KMI","Kinder Morgan","reports","Energía","Oil & Gas Storage & Transportation","Houston, Texas","41054",1506307,"1997"
"KMX","CarMax","reports","Consumo Discrecional","Automotive Retail","Richmond, Virginia","40357",1170010,"1993"
"KO","The Coca-Cola Company","reports","Productos básicos","Bebidas","Atlanta, Georgia","20883",21344,"1886"
"KR","Kroger","reports","Productos básicos","Venta de Alimentos","Cincinnati, Ohio","20883",56873,"1883"
"L","Loews Corporation","reports","Finanzas","Multi-line Insurance","New York City, New York",NA,60086,"1959"
"LDOS","Leidos","reports","Industriales","Servicios de Soporte Diversificado","Reston, Virginia","43686",1336920,"1969"
"LEN","Lennar","reports","Consumo Discrecional","Construcción de Casas","Miami, Florida","38629",920760,"1954"
"LH","LabCorp","reports","Cuidado de Salud","Health Care Services","Burlington, North Carolina","38292",920148,"1978"
"LHX","L3Harris","reports","Industriales","Aeroespacial y Defensa","Melbourne, Florida","39713",202058,"2019 (1895)"
"LIN","Linde plc","reports","Materiales","Gases Industriales","Guildford, United Kingdom","33786",1707925,"1879"
"LKQ","LKQ Corporation","reports","Consumo Discrecional","Distribuidores","Chicago, Illinois","42513",1065696,"1998"
"LLY","Eli Lilly and Company","reports","Cuidado de Salud","Farmacéuticos","Indianapolis, Indiana","25933",59478,"1876"
"LMT","Lockheed Martin","reports","Industriales","Aeroespacial y Defensa","Bethesda, Maryland","30894",936468,"1995"
"LNC","Lincoln Financial","reports","Finanzas","Multi-line Insurance","Radnor, Pennsylvania","27941",59558,"1905"
"LNT","Alliant Energy","reports","Utilidades","Electric Utilities","Madison, Wisconsin","42552",352541,"1917"
"LOW","Lowe's","reports","Consumo Discrecional","Home Improvement Retail","Mooresville, North Carolina","30741",60667,"1904/1946/1959"
"LRCX","Lam Research","reports","Tecnología Informática","Equipo de Semiconductores","Fremont, California","41089",707549,"1980"
"LUMN","Lumen Technologies","reports","Servicios de Comunicación","Proveedores Alternativos","Monroe, Louisiana","36244",18926,"1983 (1877)"
"LUV","Southwest Airlines","reports","Industriales","Aerolíneas","Dallas, Texas","34516",92380,"1967"
"LVS","Las Vegas Sands","reports","Consumo Discrecional","Casinos & Gaming","Las Vegas, Nevada","43741",1300514,"1988"
"LW","Lamb Weston","reports","Productos básicos","Alimentos y Carnes Empaquetados","Eagle, Idaho","43437",1679273,"2016 (1950)"
"LYB","LyondellBasell","reports","Materiales","Químicos Especiales","Rotterdam, Netherlands","41157",1489393,"2007"
"LYV","Live Nation Entertainment","reports","Servicios de Comunicación","Películas y Entretenimiento","Beverly Hills, California","43822",1335258,"2010"
"MA","Mastercard","reports","Tecnología Informática","Procesamiento de Datos y Servicios Externalizados","Harrison, New York","39647",1141391,"1966"
"MAA","Mid-America Apartment Communities","reports","Bienes Raíces","Residential REITs","Memphis, Tennessee","42706",912595,"1977"
"MAR","Marriott International","reports","Consumo Discrecional","Hotels, Resorts & Cruise Lines","Bethesda, Maryland",NA,1048286,"1927"
"MAS","Masco","reports","Industriales","Productos de Edificio","Livonia, Michigan","29767",62996,"1929"
"MCD","McDonald's","reports","Consumo Discrecional","Restaurantes","Chicago, Illinois","25749",63908,"1940"
"MCHP","Microchip Technology","reports","Tecnología Informática","Semiconductores","Chandler, Arizona","39332",827054,"1989"
"MCK","McKesson","reports","Cuidado de Salud","Health Care Distributors","Irving, Texas",NA,927653,"1833"
"MCO","Moody's","reports","Finanzas","Financial Exchanges & Data","New York City, New York",NA,1059556,"1909"
"MDLZ","Mondelez International","reports","Productos básicos","Alimentos y Carnes Empaquetados","Chicago, Illinois","41184",1103982,"2012"
"MDT","Medtronic","reports","Cuidado de Salud","Health Care Equipment","Dublin, Ireland","31716",1613103,"1949"
"MET","MetLife","reports","Finanzas","Life & Health Insurance","New York City, New York",NA,1099219,"1868"
"META","Meta Platforms","reports","Servicios de Comunicación","Medios y Servicios Interactivos","Menlo Park, California","41631",1326801,"2004"
"MGM","MGM Resorts","reports","Consumo Discrecional","Casinos & Gaming","Paradise, Nevada","42942",789570,"1986"
"MHK","Mohawk Industries","reports","Consumo Discrecional","Home Furnishings","Calhoun, Georgia","41631",851968,"1878"
"MKC","McCormick Company","reports","Productos básicos","Alimentos y Carnes Empaquetados","Hunt Valley, Maryland","37700",63754,"1889"
"MKTX","MarketAxess","reports","Finanzas","Financial Exchanges & Data","New York City, New York","43647",1278021,"2000"
"MLM","Martin Marietta Materials","reports","Materiales","Materiales de construcción","Raleigh, North Carolina","41822",916076,"1993"
"MMC","Marsh McLennan","reports","Finanzas","Insurance Brokers","New York City, New York","32020",62709,"1905"
"MMM","3M","reports","Industriales","Conglomerados Industriales","Saint Paul, Minnesota","27981",66740,"1902"
"MNST","Monster Beverage","reports","Productos básicos","Bebidas","Corona, California","41088",865752,"2012 (1935)"
"MO","Altria","reports","Productos básicos","Tabaco","Richmond, Virginia","20883",764180,"1985"
"MOH","Molina Healthcare","reports","Cuidado de Salud","Managed Health Care","Long Beach, California","44622",1179929,"1980"
"MOS","The Mosaic Company","reports","Materiales","Fertilizantes y Químicos Agrícola","Tampa, Florida","40812",1285785,"2004 (1865 / 1909)"
"MPC","Marathon Petroleum","reports","Energía","Oil & Gas Refining & Marketing","Findlay, Ohio","40725",1510295,"2009 (1887)"
"MPWR","Monolithic Power Systems","reports","Tecnología Informática","Semiconductores","Kirkland, Washington","44239",1280452,"1997"
"MRK","Merck & Co.","reports","Cuidado de Salud","Farmacéuticos","Kenilworth, New Jersey","20883",310158,"1891"
"MRNA","Moderna","reports","Cuidado de Salud","Biotecnología","Cambridge, Massachusetts","44398",1682852,"2010"
"MRO","Marathon Oil","reports","Energía","Oil & Gas Exploration & Production","Houston, Texas","33359",101778,"1887"
"MS","Morgan Stanley","reports","Finanzas","Investment Banking & Brokerage","New York City, New York",NA,895421,"1935"
"MSCI","MSCI","reports","Finanzas","Financial Exchanges & Data","New York City, New York","43194",1408198,"1969"
"MSFT","Microsoft","reports","Tecnología Informática","Software de Sistemas","Redmond, Washington","34486",789019,"1975"
"MSI","Motorola Solutions","reports","Tecnología Informática","Equipo de Comunicación","Chicago, Illinois",NA,68505,"1928 (2011)"
"MTB","M&T Bank","reports","Finanzas","Regional Banks","Buffalo, New York","38040",36270,"1856"
"MTCH","Match Group","reports","Servicios de Comunicación","Medios y Servicios Interactivos","Dallas, Texas","44459",891103,"1986"
"MTD","Mettler Toledo","reports","Cuidado de Salud","Life Sciences Tools & Services","Columbus, Ohio","42619",1037646,"1945"
"MU","Micron Technology","reports","Tecnología Informática","Semiconductores","Boise, Idaho","34604",723125,"1978"
"NCLH","Norwegian Cruise Line Holdings","reports","Consumo Discrecional","Hotels, Resorts & Cruise Lines","Miami, Florida","43021",1513761,"2011 (1966)"
"NDAQ","Nasdaq, Inc.","reports","Finanzas","Financial Exchanges & Data","New York City, New York","39743",1120193,"1971"
"NDSN","Nordson Corporation","reports","Industriales","Maquinaria Industrial","Westlake, Ohio","44607",72331,"1935"
"NEE","NextEra Energy","reports","Utilidades","Multi-Utilities","Juno Beach, Florida","27941",753308,"1984 (1925)"
"NEM","Newmont","reports","Materiales","Oro","Denver, Colorado","25384",1164727,"1921"
"NFLX","Netflix","reports","Servicios de Comunicación","Películas y Entretenimiento","Los Gatos, California","40532",1065280,"1997"
"NI","NiSource","reports","Utilidades","Multi-Utilities","Merrillville, Indiana",NA,1111711,"1912"
"NKE","Nike, Inc.","reports","Consumo Discrecional","Apparel, Accessories & Luxury Goods","Washington County, Oregon","32477",320187,"1964"
"NOC","Northrop Grumman","reports","Industriales","Aeroespacial y Defensa","West Falls Church, Virginia","31228",1133421,"1994 (Northrop 1939, Grumman 1930)"
"NOW","ServiceNow","reports","Tecnología Informática","Software de Sistemas","Santa Clara, California","43790",1373715,"2003"
